Dt,Day,Jul '26,DO,,Dt,Day,Aug '26,DO,,Dt,Day,Sep '26,DO,,Dt,Day,Oct '26,DO,,Dt,Day,Nov '26,DO,,Dt,Day,Dec '26,DO,
1,Wed,,-,-,1,Sat,"Enrolment Day Starts B.Tech - I / M.Tech (Int) - I (Year)",-,-,1,Tue,,4,-,1,Thu,,4,-,1,Sun,,-,-,1,Tue,,4,-
2,Thu,,-,-,2,Sun,,-,-,2,Wed,,5,-,2,Fri,"Gandhi Jayanthi - Holiday",-,-,2,Mon,,3,-,2,Wed,,5,-
3,Fri,,-,-,3,Mon,"Enrolment Day Starts B. Arch & B. Des - I (Year) / Commencement of Classes for Minor Degree",5,-,3,Thu,,1,-,3,Sat,,-,-,3,Tue,,4,-,3,Thu,,1,-
4,Sat,,-,-,4,Tue,,1,-,4,Fri,"Krishna Jayanthi - Holiday",-,-,4,Sun,,-,-,4,Wed,,5,-,4,Fri,,2,-
5,Sun,,-,-,5,Wed,,2,-,5,Sat,,-,-,5,Mon,,5,-,5,Thu,,1,-,5,Sat,,-,-
6,Mon,,-,-,6,Thu,,3,-,6,Sun,,-,-,6,Tue,,1,-,6,Fri,,2,-,6,Sun,,-,-
7,Tue,,-,-,7,Fri,"Enrolment Day Ends with B.Tech - I / M.Tech (Int) - I / B. Arch & B. Des - I(Year)",4,-,7,Mon,,2,-,7,Wed,,2,-,7,Sat,,-,-,7,Mon,"Last Working Day - B.Tech - I / M.Tech (Int) - I / B. Arch & B. Des - I  (Year)",3,-
8,Wed,,-,-,8,Sat,,-,-,8,Tue,,3,-,8,Thu,,3,-,8,Sun,"Deepavali - Holiday",-,-,8,Tue,,-,-
9,Thu,,-,-,9,Sun,,-,-,9,Wed,,4,-,9,Fri,,4,-,9,Mon,,3,-,9,Wed,,-,-
10,Fri,,-,-,10,Mon,,5,-,10,Thu,,5,-,10,Sat,,-,-,10,Tue,,4,-,10,Thu,,-,-
11,Sat,,-,-,11,Tue,,1,-,11,Fri,,1,-,11,Sun,,-,-,11,Wed,,5,-,11,Fri,,-,-
12,Sun,,-,-,12,Wed,,2,-,12,Sat,,-,-,12,Mon,,5,-,12,Thu,,1,-,12,Sat,,-,-
13,Mon,,-,-,13,Thu,,3,-,13,Sun,,-,-,13,Tue,,1,-,13,Fri,,2,-,13,Sun,,-,-
14,Tue,,-,-,14,Fri,,4,-,14,Mon,"Vinayakar Chathurthi - Holiday",-,-,14,Wed,,2,-,14,Sat,,-,-,14,Mon,,-,-
15,Wed,,-,-,15,Sat,"Independence Day - Holiday",-,-,15,Tue,,2,-,15,Thu,,3,-,15,Sun,,-,-,15,Tue,,-,-
16,Thu,,-,-,16,Sun,,-,-,16,Wed,,3,-,16,Fri,,4,-,16,Mon,,3,-,16,Wed,,-,-
17,Fri,,-,-,17,Mon,"Commencement of Classes for B. Tech - I / M. Tech (Int) - I / B .Arch & B. Des - I (Year)",5,-,17,Thu,,4,-,17,Sat,,-,-,17,Tue,,4,-,17,Thu,,-,-
18,Sat,,-,-,18,Tue,,1,-,18,Fri,,5,-,18,Sun,,-,-,18,Wed,,5,-,18,Fri,,-,-
19,Sun,,-,-,19,Wed,,2,-,19,Sat,,-,-,19,Mon,"Ayutha Pooja - Holiday",-,-,19,Thu,,1,-,19,Sat,,-,-
20,Mon,"Enrolment Day - B. Tech - II,III,IV / M. Tech (Int) - II,III,IV,V / M. Tech - I,II / B. Arch - II,III,IV,V / B. Des - III,IV / M. Arch & M. Des - I,II / Minor Degree (Year)",-,-,20,Thu,,3,-,20,Sun,,-,-,20,Tue,"Vijaya Dasami - Holiday",-,-,20,Fri,"Last Working Day - B. Tech - II,III,IV / M. Tech (Int) - II,III,IV,V / M. Tech - I,II / B. Arch - II,III,IV,V / B. Des - III,IV / M. Arch & M. Des - I,II / Minor Degree (Year)",2,-,20,Sun,,-,-
21,Tue,"Commencement of Classes for - B.Tech - II,III,IV / M.Tech (Int) - II,III,IV,V / M.Tech - I,II / B. Arch - II,III,IV,V / B. Des - III,IV / M. Arch & M. Des - I,II (Year)",1,-,21,Fri,,4,-,21,Mon,,1,-,21,Wed,,5,-,21,Sat,,-,-,21,Mon,,-,-
22,Wed,,2,-,22,Sat,,-,-,22,Tue,,2,-,22,Thu,,1,-,22,Sun,,-,-,22,Tue,,-,-
23,Thu,,3,-,23,Sun,,-,-,23,Wed,,3,-,23,Fri,,2,-,23,Mon,,3,-,23,Wed,,-,-
24,Fri,,4,-,24,Mon,"Chancellor Birthday Celebration - No Classes",-,-,24,Thu,,4,-,24,Sat,,-,-,24,Tue,,4,-,24,Thu,,-,-
25,Sat,,-,-,25,Tue,,5,-,25,Fri,,5,-,25,Sun,,-,-,25,Wed,,5,-,25,Fri,"Christmas - Holiday",-,-
26,Sun,,-,-,26,Wed,"Milad - un - Nabi - Holiday",-,-,26,Sat,,-,-,26,Mon,,3,-,26,Thu,,1,-,26,Sat,,-,-
27,Mon,,5,-,27,Thu,,1,-,27,Sun,,-,-,27,Tue,,4,-,27,Fri,,2,-,27,Sun,,-,-
28,Tue,,1,-,28,Fri,,2,-,28,Mon,,1,-,28,Wed,,5,-,28,Sat,,-,-,28,Mon,,-,-
29,Wed,,2,-,29,Sat,,-,-,29,Tue,,2,-,29,Thu,,1,-,29,Sun,,-,-,29,Tue,,-,-
30,Thu,,3,-,30,Sun,,-,-,30,Wed,,3,-,30,Fri,,2,-,30,Mon,,3,-,30,Wed,,-,-
31,Fri,,4,-,31,Mon,,3,-,,,,,-,31,Sat,,-,-,,,,,-,31,Thu,,-,-
